"","G","R","total_cost","gamma2","bias","mse","coverage"
"2421",47,17,9870,2.5,-0.0479923217007612,0.227941540905087,0.9
"2422",48,16,9600,2.5,-0.00627686011282075,0.175505856992342,0.94
"2423",49,16,9800,2.5,-0.0295849139694133,0.254900161473445,0.92
"2424",50,16,10000,2.5,0.061405376576375,0.196019491731135,0.95
"2425",51,15,9690,2.5,-0.0639825517100336,0.254194621986758,0.91
"2426",52,15,9880,2.5,-0.0522399296159049,0.203615556013321,0.93
"2427",53,14,9540,2.5,-0.0221667507932627,0.177912157993235,0.96
"2428",54,14,9720,2.5,0.0357501682614673,0.19111200769029,0.94
"2429",55,14,9900,2.5,0.00297520238804339,0.202985155137111,0.93
"2430",56,13,9520,2.5,-0.0135031973853606,0.179709299165285,0.97
"2431",57,13,9690,2.5,-0.0369175728493443,0.207278026858937,0.93
"2432",58,13,9860,2.5,-0.0321486463448494,0.177794395227411,0.95
"2433",59,12,9440,2.5,-0.0215754182394508,0.151712455896578,0.95
"2434",60,12,9600,2.5,0.0130881172312038,0.184575361071893,0.94
"2435",61,12,9760,2.5,-0.0327526665358902,0.155447409943394,0.99
"2436",62,12,9920,2.5,-0.0079128376071328,0.197788399072388,0.94
"2437",63,11,9450,2.5,0.0355289242012676,0.169499454876453,0.93
"2438",64,11,9600,2.5,0.00296803280749236,0.201208464447886,0.91
"2439",65,11,9750,2.5,0.0110686863261723,0.140776355036388,0.95
"2440",66,11,9900,2.5,-0.0017662266393238,0.152597473891214,0.95
"2441",67,10,9380,2.5,-0.000657051872728021,0.173350419343672,0.95
"2442",68,10,9520,2.5,-0.0503958830457228,0.1407962318176,0.96
"2443",69,10,9660,2.5,0.0654486337358645,0.171235124717247,0.92
"2444",70,10,9800,2.5,0.0278100188935179,0.154437413302273,0.95
"2445",71,10,9940,2.5,-0.0193278920943584,0.192040667136486,0.9
"2446",72,9,9360,2.5,0.0547118228780961,0.15033964933296,0.97
"2447",73,9,9490,2.5,-0.0555813306404035,0.135562937780055,0.94
"2448",74,9,9620,2.5,-0.0387968000145551,0.126642900986588,0.94
"2449",75,9,9750,2.5,-0.0452557483035798,0.159515224338986,0.91
"2450",76,9,9880,2.5,0.063783451255517,0.146433882385395,0.93
"2451",77,8,9240,2.5,0.0120989943953616,0.152313031548535,0.93
"2452",78,8,9360,2.5,-0.00530378621422106,0.128084379547004,0.94
"2453",79,8,9480,2.5,-0.0757569561828068,0.122014879436289,0.96
"2454",80,8,9600,2.5,-0.028165991998947,0.143512220713902,0.94
"2455",81,8,9720,2.5,-0.0473804034852238,0.114963610216888,0.93
"2456",82,8,9840,2.5,0.000724817022700108,0.134911868815801,0.92
"2457",83,8,9960,2.5,0.0354037790279903,0.107640096897198,0.96
"2458",84,7,9240,2.5,0.0442862805678518,0.140917529420243,0.93
"2459",85,7,9350,2.5,-0.0147072592877366,0.130027438834199,0.92
"2460",86,7,9460,2.5,-0.0366186532878203,0.101297582218655,0.97
"2461",87,7,9570,2.5,-0.00291738198938629,0.149595445646315,0.89
"2462",88,7,9680,2.5,-0.00881214667718638,0.109003289480212,0.97
"2463",89,7,9790,2.5,-0.0602678282313207,0.118997541529406,0.95
"2464",90,7,9900,2.5,0.0406102808490434,0.100467527182149,0.96
"2465",91,6,9100,2.5,0.0244647150952211,0.132728710121189,0.94
"2466",92,6,9200,2.5,-0.0127633939047885,0.101679790896736,0.96
"2467",93,6,9300,2.5,-0.012368055010783,0.121020964935427,0.94
"2468",94,6,9400,2.5,0.0298979125874107,0.138845500563926,0.88
"2469",95,6,9500,2.5,0.0284676492860479,0.111511989434376,0.99
"2470",96,6,9600,2.5,0.00896352371829812,0.103329411978076,0.97
"2471",97,6,9700,2.5,-0.031632259310409,0.110516325284319,0.97
"2472",98,6,9800,2.5,0.0384643903378501,0.112291937759355,0.94
"2473",99,6,9900,2.5,-0.027431711814507,0.103852854655507,0.95
"2474",100,6,10000,2.5,0.0650800621978371,0.109026392586422,0.94
"2475",101,5,9090,2.5,-0.0284655316509395,0.0993647178950807,0.97
"2476",102,5,9180,2.5,0.011534610355337,0.093927668807682,0.96
"2477",103,5,9270,2.5,0.022200333696026,0.110535324929049,0.91
"2478",104,5,9360,2.5,-0.0546427193857224,0.108594080850933,0.89
"2479",105,5,9450,2.5,0.012488336080735,0.137829882794564,0.91
"2480",106,5,9540,2.5,-0.0260504539222426,0.120033047187752,0.92
"2481",107,5,9630,2.5,0.0278806981112436,0.0852009230883546,0.96
"2482",108,5,9720,2.5,0.00388129727353648,0.0943332376505496,1
"2483",109,5,9810,2.5,-0.0107443461705825,0.0971873510030139,0.93
"2484",110,5,9900,2.5,-0.0569621013181433,0.130734461128532,0.91
"2485",111,5,9990,2.5,-0.0224441930272732,0.0944736796139664,0.96
"2486",112,4,8960,2.5,-0.0393207204939232,0.124434222062362,0.88
"2487",113,4,9040,2.5,0.0221362307973942,0.0813900306386037,0.96
"2488",114,4,9120,2.5,0.0598806686869044,0.10882774646264,0.94
"2489",115,4,9200,2.5,0.0108209549948156,0.0980209442218938,0.94
"2490",116,4,9280,2.5,0.0245456082750461,0.0922796862034724,0.93
"2491",117,4,9360,2.5,-0.0823688054076318,0.101773136288691,0.96
"2492",118,4,9440,2.5,-0.0524218341667922,0.0859071012202223,0.93
"2493",119,4,9520,2.5,-0.0569369290150463,0.108788775208533,0.92
"2494",120,4,9600,2.5,-0.00390754612478428,0.107718291184267,0.93
"2495",121,4,9680,2.5,0.0883834251788103,0.098854474023753,0.94
"2496",122,4,9760,2.5,0.0156795379194982,0.0771604439550922,0.97
"2497",123,4,9840,2.5,-0.0622281527716521,0.114846429223019,0.91
"2498",124,4,9920,2.5,0.0164085830647325,0.0768214283613238,0.96
"2499",125,4,10000,2.5,-0.0495639207708182,0.10668588248505,0.92
"2500",126,3,8820,2.5,-0.0339820541237475,0.0835765224757607,0.95
"2501",127,3,8890,2.5,0.00676133200937479,0.099998834513378,0.93
"2502",128,3,8960,2.5,0.00377349496184343,0.0884391642459613,0.96
"2503",129,3,9030,2.5,0.029272803474042,0.0986725722154943,0.96
"2504",130,3,9100,2.5,0.0209687834429968,0.104144582624558,0.93
"2505",131,3,9170,2.5,-0.0148873282084113,0.0881597989687715,0.95
"2506",132,3,9240,2.5,-0.041688003742324,0.0729275096871706,0.98
"2507",133,3,9310,2.5,0.0270613774118436,0.11183293069411,0.91
"2508",134,3,9380,2.5,-0.00142177955132877,0.0800904538740066,0.96
"2509",135,3,9450,2.5,-0.0300122753280299,0.0844636970354164,0.94
