"","G","R","total_cost","gamma2","bias","mse","coverage"
"82",84,7,9240,0.1,0.0126087026876035,0.00504793538981802,0.97
"83",85,7,9350,0.1,-0.000837210765323115,0.00495471019525924,0.94
"84",86,7,9460,0.1,0.00380817689070556,0.00551555630255991,0.92
"85",87,7,9570,0.1,-0.0035787961586784,0.0048799017385954,0.93
"86",88,7,9680,0.1,0.00791648697959979,0.00514272786962241,0.92
"87",89,7,9790,0.1,-0.0004652793445315,0.00422040477045763,0.94
"88",90,7,9900,0.1,0.000986423582012286,0.0046191409840902,0.93
"89",91,6,9100,0.1,0.0105429916249425,0.0042048388811,0.96
"90",92,6,9200,0.1,0.00218882368087514,0.00424293345725828,0.96
"91",93,6,9300,0.1,-0.00312949053643263,0.00458592188295764,0.94
"92",94,6,9400,0.1,-0.00231159068120346,0.00483145170190155,0.95
"93",95,6,9500,0.1,0.00381515326686299,0.00374185639747867,0.97
"94",96,6,9600,0.1,0.00472346155426395,0.00455370056819308,0.95
"95",97,6,9700,0.1,-0.0115116124960261,0.00480231175387797,0.95
"96",98,6,9800,0.1,-0.00686152751769098,0.00406053060588457,0.97
"97",99,6,9900,0.1,0.00542077866414303,0.00307711768755916,0.98
"98",100,6,10000,0.1,-0.00599828113099798,0.00379870996613898,0.99
"99",101,5,9090,0.1,-0.00335593130613754,0.00384067320500343,0.96
"100",102,5,9180,0.1,-0.000322167755304248,0.00363446726035799,0.97
"101",103,5,9270,0.1,-0.00397673846612018,0.00427633200909533,0.95
"102",104,5,9360,0.1,0.0117797370566626,0.00498291508727452,0.93
"103",105,5,9450,0.1,0.0084788624668839,0.00423949133196328,0.95
"104",106,5,9540,0.1,0.00130592667176688,0.0043694879124612,0.94
"105",107,5,9630,0.1,-0.00349749790058662,0.00413024359152868,0.96
"106",108,5,9720,0.1,-0.0121338506584707,0.00380225594072373,0.93
"107",109,5,9810,0.1,-0.00241123259635168,0.00338028696617157,0.96
